F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
28.74,-268.77,62.76,4,38.46,-535.96,538.08,18.37,3.34,-11.67,-5448.74,-1868.9,-1638.7,-1595.66,142.98,Europe,-264.99,-151.16,4748.85,19071.66,2174.37,-51.48,64.24,-12.55,-1978.59,6.2,4110.78,-2.36,27.6,922.07,-1006.92,12,28.38,High,184.93
60.3,-11.37,61.32,6,76.09,-441.44,-1614.94,1.73,0.88,-10.3,-3534.48,-1825.7,-1578.48,-2605.72,66.13,USA,-252.27,-1003.42,790.74,34980.33,1368.21,-51.99,66.48,-9.57,-4046.97,23.58,2050.63,-0.43,55.4,1151.12,-493.71,21,59.49,Very high,83.33
-59.58,-305.94,67.35,16,104.74,-448.6,-154.42,72.08,11.36,-5.58,-3910.38,-1842.62,-2787.36,-1950.94,116.1,UK,-264.24,-179.68,6400.79,25519.29,3042.18,-61.62,63.96,-13.54,-2752.35,2.16,1003.06,-2.81,66.8,329.39,-710.04,6,36.69,Very low,-8.93
171.36,-51.48,69.72,10,82.82,-470.62,-1056.76,0,4.82,-6.01,-4453.42,-1856.14,-1014.26,-3041.06,228.29,Rest,-242.64,-909.98,8611.27,25989.57,745.65,-54.21,65.4,-5.84,-4706.61,10.72,11991.41,-1.49,58.32,669.98,-953.94,15,31.35,High,11.72
-97.74,-54,66.69,8,54.23,-372.46,-480.02,18.13,3.9,-13.63,-5551.96,-1948.51,-1834.94,-2216.28,147.99,USA,-187.05,-1512.9,7337.86,13219.59,2326.5,-56.22,71.68,-13.72,-4724.28,3.08,-223.59,0.06,51.74,679.19,-2098.38,9,34.89,Low,484.05
10.41,-205.26,67.14,10,97.09,-471.84,-144.38,0,4.12,-15.24,-3508.34,-1790.95,-449.3,-885.42,139.33,UK,-220.11,-1375.78,3980.48,20500.11,1247.43,-57.42,62.98,-12.35,-3470.46,10.78,3995.68,-3.03,50.7,558.03,-1848.93,9,62.88,Medium,138.23
131.13,-171.24,49.23,6,18.32,-430.28,302.3,0.01,2.46,-11.53,-4375.38,-1635.13,-1835.58,-766.2,128.92,USA,-327.51,-1027.1,8392.62,27034.8,2105.94,-48.48,75.9,-17.63,-1624.38,12.72,1016.11,-0.14,46.36,672.78,-1739.88,12,18.93,High,384.21
233.25,-183.87,64.68,6,60.39,-344.76,-2296,0.23,7.14,-7.59,-3008.04,-2280.68,-2059.86,-1718.32,150.41,Europe,-171.66,-707.86,5114.04,11068.8,1434.3,-44.55,63.36,-11.51,-2027.37,21.62,-4730.6,-5.22,42.5,1005.2,-2136.06,12,37.62,Low,-8.93
21.33,8.82,74.7,8,30.36,-525.58,-691.2,1.43,2.36,-6.81,-4644.16,-1702.85,-2235.1,-2800.5,285.97,UK,-109.11,-618.4,2571.95,29861.28,2196.09,-54.78,57.56,-7.49,-3968.79,6.44,5618.74,-5.81,50.34,1132.88,-1255.17,9,48,Very high,103.02
-116.52,-265.23,66.54,8,102.38,-313.92,-757.62,0.69,5.08,-5.15,-4447.56,-1622.17,-1182.28,-1690.36,139.54,Rest,-311.88,277.26,15027.5,22284.36,1318.05,-49.59,57.62,-12.63,-2449.98,5.74,-1.38,-3.28,58.54,978.25,-1109.37,15,68.85,Medium,119.34
69.27,-198.42,63.84,16,70.37,-547.28,-69,1.9,0.5,-11.56,-3824.96,-1673.75,-2182.6,-2226.46,163.55,Rest,-128.52,-1361.14,7399.39,38283.48,1349.37,-47.19,57.28,-10.34,-3354.6,10.86,1977.48,2.29,58.26,904.13,-3217.83,15,36.3,Medium,30.41
-85.38,-144.42,60.39,10,30.99,-443.16,-682.54,6.49,1.96,-7.82,-4778.76,-1890.61,-1327.38,-1795.28,149.01,UK,-340.71,-1279.18,-49.45,31880.91,1227.36,-54.9,57.4,-12.6,-3464.52,5.08,1926.96,-3.1,43.32,1258.1,-815.19,6,40.95,High,-8.93
-29.22,-134.64,86.91,8,26.01,-483.36,-485.74,1.1,4.58,-7.19,-3375.34,-2192.96,-1559.88,-2638.6,227.4,Europe,-152.55,-1615.8,7299.96,31749.6,2548.23,-55.77,76.5,-9.56,-2986.41,3.62,-34.83,-4.88,63.3,1146.22,-1346.22,12,34.95,Very high,129.25
58.38,19.08,53.28,8,33.04,-485.32,-1985.84,2.42,1.86,-13.43,-3326.46,-1556.2,-1489.06,-2278.02,151.14,UK,-167.73,-216.46,4278.38,30447.24,2918.85,-58.32,62.86,-14.31,-3147.27,1.9,3652.9,-4.17,63.1,1237.5,-2176.17,6,31.68,High,494.62
-86.43,-129.42,66.9,4,98.25,-435.62,-773.48,0.27,12.54,-12.49,-4408.54,-1315.88,-3110.22,-2204.78,179,USA,-262.56,-1208.2,10993.49,10934.49,1347.24,-52.26,58.08,-18.55,-3515.7,6.64,-8100.8,-1.75,51.8,772.21,-527.85,15,35.82,Very low,542.75
